"Club","Orders","Members","DWR","DBR","IWR","IBR","DWR","DBR","IWR","IBR"
"1",59,23,0.71,0.12,0.03,0.03,28.77,78.05,120.88,147.78
"2",11,10,0.65,0,0.06,0,73.43,NA,331.66,NA
"3",22,28,0.67,0.08,0.06,0.05,19.21,91.81,87.29,112.77
"4",27,18,0.62,0.08,0.07,0.06,68.37,154.02,137.39,172.58
"5",69,9,0.57,0.15,0.03,0.06,63.31,147.32,281.49,242.32
"6",15,4,0.63,0.14,0.05,0.06,81.21,146.99,273.94,230.75
"7",93,8,0.64,0.16,0.02,0.07,79.24,150.72,450.82,271.84
"8",64,66,0.54,0.15,0.1,0.04,43.17,109.03,93.08,172.86
"9",48,26,0.46,0.12,0.1,0.07,59.34,152.03,132.13,216.36
"10",91,122,0.58,0.12,0.1,0.04,13.53,40.11,39.79,86.51
"11",67,31,0.58,0.12,0.07,0.04,43.81,91.61,109.77,135.8
"12",10,27,0.72,0.11,0.07,0.02,9.65,37.65,28.08,56.07
"13",69,51,0.58,0.15,0.07,0.05,27.74,55.13,56.51,96.41
"14",80,46,0.55,0.18,0.07,0.05,33.05,75.29,102.94,103.74
"15",80,144,0.52,0.1,0.11,0.07,24.58,51.12,52.48,58.61
"16",76,78,0.58,0.13,0.09,0.04,22.3,49.65,58.45,92.28
"17",30,9,0.55,0.22,0.04,0.04,41.59,59.62,160.4,175.02
"18",46,6,0.56,0.06,0.02,0.06,62.84,173.14,368.19,227.58
"19",20,3,0.68,0.15,0,0.06,83.63,183.9,NA,324.63
"20",14,9,0.58,0.2,0.03,0.03,21.63,49.64,136.29,138.62
"21",52,66,0.61,0.15,0.07,0.03,12.2,35.95,48.67,63.86
"22",95,66,0.66,0.14,0.05,0.01,23.07,51.71,55.79,393.82
"23",100,141,0.74,0.08,0.06,0.02,22.59,52.21,72.25,296.7
"24",34,45,0.64,0.08,0.09,0.02,6.35,37.19,23.71,75.64
"25",30,80,0.64,0.06,0.09,0.02,8.67,37.68,24.51,88.82
"26",5,7,0.54,0.04,0.06,0.06,40.61,142.88,100.33,189.81
"27",34,7,0.72,0.08,0.01,0.07,52.25,198.15,329.63,245.41
"28",17,23,0.61,0.14,0.06,0.07,20.82,54.33,99.73,98.16
"29",67,34,0.61,0.19,0.05,0.04,19.04,49.68,77.84,94.82
"30",17,4,0.67,0,0,0.1,55.08,NA,NA,209.44
"31",44,7,0.36,0.34,0.05,0.16,112.18,102.91,277.17,158.48
"32",37,7,0.6,0.07,0.04,0.03,70.79,168.9,215.3,270.34
"33",5,11,0.47,0,0.15,0.01,7.86,NA,25.75,124.32
"34",6,6,0.61,0.09,0.04,0,16.16,89.78,78.31,NA
"35",62,16,0.44,0.03,0.11,0.01,19.25,90.96,61.45,296.87
NA,1596,1238,0.6,0.12,0.06,0.05,39.64,94.04,136.73,171.79
